Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
FIFA 12,Xbox 360,2011.0,Sports,Electronic Arts,0.84,2.78,0.02,0.53,4.18,,,,,,,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007,Sep
FIFA 12,Wii,2011.0,Sports,Electronic Arts,0.15,0.5,0.0,0.11,0.76,,,,,,,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007,Sep
FIFA 12,PSP,2011.0,Sports,Electronic Arts,0.12,0.25,0.02,0.13,0.52,,,,,,,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007,Sep
FIFA 12,Windows,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47,,,,,,,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007,Sep
FIFA 12,3DS,2011.0,Sports,Electronic Arts,0.08,0.26,0.0,0.05,0.39,,,,,,,"FIFA,FIFA 12",9/27/2011,44,29198,0.001506953,940,107,31619,0.003384041,3007,Sep
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,"Red Dead,Red Dead Redemption",5/18/2010,108,10941,0.009871127,1522,306,10416,0.02937788,2351,May
Red Dead Redemption,Xbox 360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0,Rockstar San Diego,M,"Red Dead,Red Dead Redemption",5/18/2010,108,10941,0.009871127,1522,306,10416,0.02937788,2351,May
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",10/30/2012,300,41853,0.007167945,17147,585,49845,0.011736383,31133,Oct
Assassin's Creed III,Xbox 360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",10/30/2012,300,41853,0.007167945,17147,585,49845,0.011736383,31133,Oct
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.34,3.58,2.06,0.92,12.88,87.0,154.0,8.6,736.0,Retro Studios,E,"Donkey Kong,Donkey Kong Country Returns",11/21/2010,21,12923,0.00162501,170,38,15236,0.002494093,238,Nov
Gears of War 3,Xbox 360,2011,Shooter,Microsoft Game Studios,8.1,3.18,0.14,1.0,12.42,91.0,192.0,7.8,3008.0,Epic Games,M,"Gears of War 3,Gears of War,Gears",9/20/2011,210,30751,0.006829046,1049,347,28739,0.012074185,4691,Sep
Kinect Sports,Xbox 360,2010,Sports,Microsoft Game Studios,7.84,3.46,0.06,1.02,12.38,73.0,102.0,7.4,190.0,Rare Ltd.,E10+,Kinect Sports,10/9/2010,0,11789,0.0,0,4,11859,0.000337297,20,Oct
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,,,4.5,109.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
FIFA 15,Xbox 360,2014.0,Sports,Electronic Arts,0.79,1.92,0.0,0.21,2.92,,,4.2,85.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
FIFA 15,Xbox One,2014.0,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,33.0,5.4,347.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
FIFA 15,Vita,2014.0,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,,,3.1,42.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
FIFA 15,Wii,2014.0,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.56,,,4.3,12.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
FIFA 15,3DS,2014.0,Sports,Electronic Arts,0.09,0.34,0.0,0.03,0.45,,,2.4,35.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014,110,27915,0.003940534,226,242,26444,0.009151414,1639,Sep
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,4.82,4.36,0.56,1.98,11.74,95.0,196.0,9.1,16006.0,Naughty Dog,M,The Last of Us,6/14/2013,482,77845,0.006191791,25995,3233,75842,0.042628095,185781,Jun
Destiny,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,Destiny,9/9/2014,477,30176,0.015807263999999998,14042,1852,26546,0.06976569,73662,Sep
Destiny,Xbox One,2014.0,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,75.0,11.0,5.5,1735.0,"Bungie Software, Bungie",T,Destiny,9/9/2014,477,30176,0.015807263999999998,14042,1852,26546,0.06976569,73662,Sep
Destiny,Xbox 360,2014.0,Shooter,Activision,1.31,0.43,0.0,0.18,1.92,,,4.7,504.0,Bungie,T,Destiny,9/9/2014,477,30176,0.015807263999999998,14042,1852,26546,0.06976569,73662,Sep
Destiny,PS3,2014.0,Shooter,Activision,0.68,0.56,0.12,0.25,1.62,,,4.5,445.0,Bungie,T,Destiny,9/9/2014,477,30176,0.015807263999999998,14042,1852,26546,0.06976569,73662,Sep
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",10/18/2011,248,28739,0.008629389,2449,620,47876,0.012950121,6343,Oct
Batman: Arkham City,Xbox 360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",10/18/2011,248,28739,0.008629389,2449,620,47876,0.012950121,6343,Oct
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,3.7,5.0,0.38,1.7,10.76,93.0,226.0,7.9,14128.0,Naughty Dog,T,"A Thief's End,Uncharted 4: A Thief's End,Uncharted 4",5/10/2016,160,35643,0.00448896,6427,103,37305,0.0027610240000000004,95,May
