Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after,month
Mario Party 9,Wii,2012,Misc,Nintendo,2.12,2.18,1.52,0.44,6.26,73.0,90.0,6.8,310.0,Nd Cube,E,"Mario Party 9,Mario Party,Mario",3/11/2012,497,41328,0.012025745,18624,25,42831,0.000583689,467,Mar
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,2.8,2.02,0.92,0.46,6.2,91.0,162.0,8.9,2114.0,Nintendo,E,"The Legend of Zelda: A Link Between Worlds,The Legend of Zelda,A Link Between Worlds,Zelda",11/22/2013,244,52068,0.00468618,17496,379,43294,0.008754099999999999,36068,Nov
Resident Evil 6,PS3,2012,Shooter,Capcom,2.88,2.48,1.83,0.96,8.15,71.66666667,139.0,5.266666667,4015.0,Capcom,M,"Resident Evil 6,Resident Evil",10/2/2012,0,44589,0.0,0,245,41853,0.005853822,6473,Oct
Mass Effect 2,Xbox 360,2010,Role-Playing,Electronic Arts,3.99,1.94,0.06,0.6,6.59,95.33333333,251.0,8.866666667,9845.0,BioWare,M,"Mass Effect,Mass Effect 2",1/26/2010,174,8180,0.021271394,2085,277,9219,0.030046642999999998,2486,Jan
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,1.02,2.04,2.8,0.24,6.1,66.0,120.0,6.9,212.0,Nintendo,E,"Happy Home Designer,Animal Crossing: Happy Home Designer,Animal Crossing",9/25/2015,16,32127,0.000498023,145,14,31289,0.000447442,5085,Sep
The Sims 4,Windows,2014,Simulation,Electronic Arts,2.0,3.64,0.0,0.46,6.1,70.0,148.0,3.9,4114.0,Maxis,T,"The Sims,Sims,The Sims 4",9/2/2014,140,30973,0.004520066,9150,343,26981,0.01271265,27881,Sep
Borderlands 2,Xbox 360,2012,Shooter,Take-Two Interactive,5.25,2.89,0.18,0.95,9.26,89.5,181.0,8.2,5124.0,Gearbox Software,M,"Borderlands,Borderlands 2",9/18/2012,585,46136,0.012679903000000001,29779,2796,42452,0.065862621,126403,Sep
Mass Effect 3,Xbox 360,2012,Role-Playing,Electronic Arts,4.91,2.68,0.09,0.8,8.47,92.0,201.0,5.65,15225.0,BioWare,M,"Mass Effect,Mass Effect 3",3/6/2012,1032,40589,0.025425608,18214,2013,42792,0.047041503,47373,Mar
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,2.58,2.42,0.12,0.94,6.06,87.0,214.0,7.7,5518.0,Quantic Dream,M,Heavy Rain,2/23/2010,66,9219,0.007159128000000001,227,113,11117,0.010164613000000001,1232,Feb
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,4.08,1.26,0.24,0.44,6.0,73.0,156.0,7.0,262.0,Junction Point,E,Epic Mickey,11/30/2010,28,14151,0.001978659,89,19,15553,0.001221629,228,Nov
NBA 2K13,Xbox 360,2012,Sports,Take-Two Interactive,7.36,0.9,0.07,0.69,9.02,,,7.38,414.0,Visual Concepts,E,"NBA,NBA 2K13",10/2/2012,33,44589,0.000740093,50,53,41853,0.001266337,1088,Oct
Star Wars: The Old Republic,Windows,2011,Role-Playing,Electronic Arts,3.16,2.02,0.0,0.76,5.92,85.0,146.0,5.9,5496.0,"LucasArts, BioWare",T,"The Old Republic,Star Wars,Star Wars: The Old Republic",12/20/2011,220,37295,0.005898914,957,219,41494,0.005277871,2885,Dec
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,2.87,3.56,0.11,1.09,7.62,84.75,199.0,8.05,6028.0,Monolith Productions,M,"Middle-Earth: Shadow of Mordor,Middle-Earth,Shadow of Mordor",9/30/2014,25,26981,0.0009265780000000001,47,681,26903,0.025313162,32567,Sep
Titanfall,Xbox One,2014,Shooter,Electronic Arts,3.9,1.9,0.08,0.58,6.46,86.0,165.0,6.333333333,7043.0,Respawn Entertainment,M,Titanfall,3/11/2014,1519,40437,0.037564607,34601,1063,36422,0.029185657,31871,Mar
